method,bin_index,bin_lower,bin_upper,sample_count,mean_probability,observed_default_rate
uncalibrated,0,0.0,0.1,763,0.07614691052233619,0.01834862385321101
uncalibrated,1,0.1,0.2,3833,0.15752499107246298,0.028437255413514217
uncalibrated,2,0.2,0.30000000000000004,8315,0.25542214851676975,0.05195429945880938
uncalibrated,3,0.30000000000000004,0.4,14522,0.35351583086913396,0.08091172014873985
uncalibrated,4,0.4,0.5,20535,0.4521074748349209,0.12052593133674215
uncalibrated,5,0.5,0.6000000000000001,23248,0.5494767418965462,0.16810048176187198
uncalibrated,6,0.6000000000000001,0.7000000000000001,16578,0.6432255741580339,0.23090843286283025
uncalibrated,7,0.7000000000000001,0.8,2819,0.7243957746896613,0.30471798510109965
uncalibrated,8,0.8,0.9,2,0.8106794795619473,0.0
uncalibrated,9,0.9,1.0,0,,
sigmoid,0,0.0,0.1,28428,0.0648358286211326,0.06476009568031518
sigmoid,1,0.1,0.2,43215,0.14676380953173793,0.14719426125188012
sigmoid,2,0.2,0.30000000000000004,17541,0.2367368228630057,0.23573342454820137
sigmoid,3,0.30000000000000004,0.4,1427,0.3226573612049214,0.3237561317449194
sigmoid,4,0.4,0.5,4,0.4129725991570857,0.25
sigmoid,5,0.5,0.6000000000000001,0,,
sigmoid,6,0.6000000000000001,0.7000000000000001,0,,
sigmoid,7,0.7000000000000001,0.8,0,,
sigmoid,8,0.8,0.9,0,,
sigmoid,9,0.9,1.0,0,,
isotonic,0,0.0,0.1,25249,0.05947722820072164,0.06000237633173591
isotonic,1,0.1,0.2,48192,0.14546895659449072,0.14537682602921648
isotonic,2,0.2,0.30000000000000004,15492,0.2410479067183243,0.24141492383165505
isotonic,3,0.30000000000000004,0.4,1561,0.32041200621276283,0.31326073030108903
isotonic,4,0.4,0.5,112,0.42505672157329943,0.41964285714285715
isotonic,5,0.5,0.6000000000000001,9,0.5,0.3333333333333333
isotonic,6,0.6000000000000001,0.7000000000000001,0,,
isotonic,7,0.7000000000000001,0.8,0,,
isotonic,8,0.8,0.9,0,,
isotonic,9,0.9,1.0,0,,
