group,count,bad_rate,selection_rate,true_positive_rate,false_positive_rate,roc_auc,brier_score,suppressed
1 year,19233,0.15748973119118181,0.09140539697395102,0.10355467785731919,0.02641135688345989,0.6516185716955304,0.12804775324528453,False
10+ years,89647,0.1333786964427142,0.10626122458085602,0.11866392071051615,0.02567533662289872,0.6692364882429942,0.11078181878127204,False
2 years,25879,0.1468372039105066,0.08937748753815836,0.1014085782870601,0.019473684210526317,0.6603533126261916,0.1203346808704792,False
3 years,23094,0.1480038105135533,0.08729540140296181,0.0988513925594633,0.02077238150965477,0.6604113020635881,0.12114205363488412,False
4 years,16745,0.1503732457449985,0.09608838459241564,0.10866661980740845,0.025019857029388404,0.6502607248755052,0.12329025133684873,False
5 years,16884,0.1496090973702914,0.09494195688225539,0.10767516367182059,0.022565320665083134,0.6559942360696838,0.12249251816907118,False
6 years,11178,0.1450169976740025,0.08749329039184112,0.09888040179972794,0.020357803824799507,0.6642794617082725,0.11884492144372696,False
7 years,12156,0.14700559394537677,0.09098387627509048,0.10203491175619636,0.026860660324566313,0.6655959719803168,0.12011037747290829,False
8 years,14265,0.14833508587451805,0.09414651244304241,0.10568771092270969,0.027882797731568997,0.6614573130323687,0.12145322196017577,False
9 years,10908,0.1476897689768977,0.10084341767510084,0.11401527374421856,0.024829298572315334,0.6547109734910449,0.1212562739657248,False
< 1 year,24077,0.15192922706317233,0.08589109938945882,0.09721337969538175,0.022689994532531437,0.6497670147211972,0.12439793186312315,False
Unknown,18960,0.21577004219409282,0.05580168776371308,0.06711951039074585,0.014666340747983378,0.6411071750732902,0.16463566987616607,False
